symbol,sector,score,correction,ema_trend,rsi,growth,debt
MMTC.NS,Industrials,5.648059999999999,43.503436035375245,True,69.47290955867985,100.0,98.204
NAUKRI.NS,Communication Services,3.5908274999999996,43.75070953950512,True,69.93334498006948,30.019,99.36
IGIL.NS,Basic Materials,3.5126100000000005,40.39513220534799,True,65.67628188610617,32.512,90.406
CARTRADE.NS,Consumer Cyclical,3.3892462500000002,41.45348687796435,True,57.71578357964813,24.2085,94.637
LATENTVIEW.NS,Industrials,3.3868799999999997,45.309987595588936,True,49.32866619279299,21.770000000000003,98.137
ARE&M.NS,Industrials,3.0971062500000004,48.949829222572774,True,60.70673959649152,10.9925,94.985
HONAUT.NS,Industrials,3.0803812500000003,40.9071643476652,True,73.99825783963101,8.5565,97.524
ITI.NS,Technology,1.317975,44.55772915795363,True,73.5524425239534,0.0,12.864999999999995
IRB.NS,Industrials,1.191,43.87079017129377,True,58.694298109969395,0.0,4.400000000000006
PCBL.NS,Basic Materials,1.14093,47.624725228753775,True,66.06684475290515,0.708,0.0
